proposal_id,space_id,title,total_votes,total_voting_power
0xcbefd708a0b64d9e9d634e5d7f57c5056b59285b6a5ba18492cfea4db6a53104,stgdao.eth,Add Euro Coin ($EUROC) to Stargate,1000,21720.855874353005
0xe485f7c2bb4f7843d4ce353ae82f19dcf017e70e917bad28f70ff8b231b57deb,stgdao.eth,Fantom Pool Windup,1000,5713.052822536791
0x6b703b90d3cd1f82f7c176fc2e566a2bb79e8eb6618a568b52a4f29cb2f8d57b,stgdao.eth,Velodrome Strategy Update,1000,13109.162338258648
0xda01dacad76bf6559fcd16cf947f23dd4ee3459e1d08aa6325b17a573733d039,stgdao.eth,Stargate x Galxe: Optimism Ecosystem Growth Grant,1000,15447.845359430858
0xf980d6deed62c3d77dd055963724b9d07ea0f383a2142703e5581c8e751b06ad,stgdao.eth,Make Velodrome the STG Hub on Optimism,1000,23338.841622455446
0x9b511ccf8bd097176255da63725877de9f80caeea8a28256ff50dfad10a3820d,stgdao.eth,Create a Secure UniswapV3 Oracle for STG with Arrakis PALM,1000,17743.504654199805
0xd78c441994d140edde34131051113479651c593ab83badebc537a347ba86b705,stgdao.eth,Make Velodrome the STG Hub on Optimism,1000,11496.574954004316
0xb89734985fddc3bc70404eaa6d62100ddeeea26c54c0ea55f66a089f79dde3ca,stgdao.eth,Proposal to Bootstrap liquidity for Stargate USDT pools on Pendle,1000,22557.153118519975
0xb850477539d006f12feb53c1ef7d1ebc967cb5424a39dd6c6b2da3c57af05695,stgdao.eth,"Proposal to Approve Stargate Deployment to BASE, zkSync, Polygon zkEVM and ConsenSys zkEVM",1000,22338.43339140103
0xd0e742caae098261a030feaed2f10d1a36646bdf0ac8d4a128bfb241ca87d8f5,stgdao.eth,Proposal To Unwind The Reissue Of STG,1000,18634.0434545189
0x9301f156dd6aa17b2165fb3834e9523413884bc8158af166b0e25e33f990dab2,stgdao.eth,Liquidity Reallocation from POL-LP to POL-Pools,1000,13411.872901989356
0xf6235e1e4327a0490a561b11409e14f3526d624821cd301eaef4df5b7e704dcd,stgdao.eth,Beefy x Stargate: Integration Proposal,1000,11388.178003559755
0xe9ee47fa9148b1ef9820dcb6504b423f99d0bc4243e917beee12018e234dbb48,stgdao.eth,Additional PancakeSwap Farm Proposal,1000,33565.621724264834
0x82586192cf58f438cfee7101afde68df11ab3be071a6f7c05d1a3e8506836ee2,stgdao.eth,Stargate Market Maker - Preserving CEX Listings,1000,19702.09419935807
0x26a68e276ab63195580c5100423c5db7177c9a0f15c74e5d8393812332b28836,stgdao.eth,STG Reissue,1000,22734.08022573919
0x1568deb7f61440b48a56e1c44e3d023852002e693fb3e58a085b5fb6f3134e98,stgdao.eth,Autonomous Pool Deployment - WOO,1000,20726.878523952328
0xae1ebaebd42f44483c06cb0e8e7cdbc1f5aca52843b27017132ab8dbd8ef9158,stgdao.eth,PancakeSwap Farm Proposal,1000,32165.37445998077
0x4218ee725798f5450583c29e20fa231c782b9f6880ef9170229235e9eb0442ef,stgdao.eth,STG OTC Request Discussion,1000,33545.84836350067
0x0dabcc487407cab6a0d471f7c61a01e9e4729ae7426957fece376939f2875aa6,stgdao.eth,SIP 26 - Featherproof,1000,19209.601000427672
0x8ca03295d142b8ed1dc55adffdaec3bd24d4a9613a44c1aa983907f3dab5ec9d,stgdao.eth,SIP#25 - Stargate MM (Revised Proposal),1000,32351.968987616583
0x9f220b762e40e2fc8166b15e64510a0843bb8328f48d1407a800ae1a63f577fd,stgdao.eth,SIP#24 - Stargate MM,1000,59869.59299544882
0x85648cb05df3d2eb724e2806e00f3bb5b9a5d06440cde4cf241cc5eec4787c41,stgdao.eth,Stargate Deployment On Metis,1000,27964.251696744475
0x00b8f2f79d105b9c2da9a346a24ff7c9f1295d4760e11e93709d4e5f0165c2ef,stgdao.eth,Add LayerZero tokens (OFT tokens) to Stargate,1000,18811.429805996948
0x34e6fd18754c358948415dcd53bd7c7b785efb2c6805cabd560ebfdc34d6bf23,stgdao.eth,A.P.D -- POP Request,1000,29690.206313627135
0x7839f919ddd2c226ef0f050ce9250b0f1f41c1d94bf0ab8fdc9205b151fe3a2a,stgdao.eth,SIP#23 - Data Driven Emissions Modifications,1000,31415.346751182347
0xfb862e6810019e8bf3282a1e06d2077edf28424bfc830562e56b91db0a70e861,stgdao.eth,SIP#22 Lowered Proposal Voting and Posting Thresholds,1000,32650.306105059015
0x8298874cdf0e0a1849cc02eefd3bc7d94c6868c560774df963318a5edd39a53f,arbitrumfoundation.eth,OpCo – A DAO-adjacent Entity for Strategy Execution,1000,157958927.94303453
0x04c5984e2e2b8270a793bfb1bbe35c2c8a360429e2e1a5e72a3917215c51144d,arbitrumfoundation.eth,Partner with ETH Bucharest 2025,1000,152862806.86155352
0xf5fdce242b85134153397754d25a43a49611a3e8a1c73b2e11a67e864c56e022,arbitrumfoundation.eth,"Unifying Arbitrum’s Mission, Vision, Purpose (MVP)",1000,127513726.73860797
0xc22debaecd252e2eccfa2b561345f091998d20740865ea6a39414f34fde52de2,arbitrumfoundation.eth,ARDC (V2) Security Election,1000,149756916.4790807
0x4959a33604c4fb590dc4326845bd011f7c202bcd6e43c2acc458548c644a567b,arbitrumfoundation.eth,ARDC (V2) Risk Election,1000,149000318.9239625
0xfbc7855075da7b93d7c95354e9b2adf848099562afcafa42fa7b7f6fa6e7804b,arbitrumfoundation.eth,ARDC (V2) Research Election,1000,156166084.4701018
0x86726ba9eb29df278cc5597290980f494329f524b0180759009a52ef11d4ca1f,arbitrumfoundation.eth,ARDC (V2) Supervisory Council Election,1000,151544167.4802091
0xb5bbd23c20a480dc46f750112b6cc8f1d1825e40cdd0fc12f4ac3642b18f6740,arbitrumfoundation.eth,[NON-CONSTITUTIONAL] Arbitrum Onboarding V2: A Governance Bootcamp,1000,148070042.2104797
0x052d7e9872192f46bfb4e0a2aabd07035d0842811ca1c82d654307b5d96e2e25,arbitrumfoundation.eth,Arbitrum D.A.O. Domain Allocator Offerings) Grant Program  - Season 3,1000,147805216.91163164
0x6f6ad0d74853f8d37a53bbb49c9747072b5e21d885391f5d2d4c41663dca516c,arbitrumfoundation.eth,Designing and operating the reporting and information function,1000,120206176.57250088
0x107fc8aecc6054725266830cd9097b7ff71f632c708c5ca39e58c5be88f46f14,arbitrumfoundation.eth,[Non-consitutional] User Research: Why build on Arbitrum?,1000,126872723.91818812
0xf922eb584e616475100222fba40b0d6574ffc113bbb5b92b76e40bb2a91e45dc,arbitrumfoundation.eth,Hackathon Continuation Program,1000,126186877.97232369
0x76ebc8056e283411cfed5cefad171e245b56fe3bc3d36d702244aab3faae689c,arbitrumfoundation.eth,Restitution For Extensively Delayed ArbitrumDAO Minigrant Winners,1000,120061600.72294484
0x6065f661e3f2a5673284d3d5801dfa0126218c1840215426b576effc19fcc107,arbitrumfoundation.eth,[Non-Constitutional] Treasury Management v1.2 ,1000,136618184.52743748
0x2e701a942a8ed6f9ec8302cea866ab08648eeef0d07170814e3a3c3eb4e48415,arbitrumfoundation.eth,Adopt a Delegate Code of Conduct & Formalize Operations,1000,114921407.2183108
0x63dd46900098540b321d48dc1bdcc09cc8cb7cb0dcc85ceb81dceac812b86e06,arbitrumfoundation.eth,GCP Council Re-Confirmation Vote for John Kennedy,1000,141409518.30682984
0x7434c3c10da39c52503edf0080337b7fad3f7e33e87dac952f7bfa7c111e99ba,arbitrumfoundation.eth,GCP Council Re-Confirmation Vote for Tim Chang,1000,144587303.5575416
0xe41fa9b0999dbd9276f7e4474e575883717020128b80dc6bd27b75ba5bd6420c,arbitrumfoundation.eth,[Non-Constitutional] Arbitrum Token Swap Pilot Program,1000,130098557.21743615
0xc9fc6b61c7e13a4645937937600397e496a3f4703a8f4d00e11c0f641d86ce9f,arbitrumfoundation.eth,(V2) Arbitrum Research & Development Collective,1000,120469293.80157486
0xdfe7bf7e5bc227fc06765f37d9d9ecd1371e637b93b574ae4cc4c1d345cd648f,arbitrumfoundation.eth,Establishing a DAO Events Budget for 2025,1000,123473243.12097421
0x817ca6edf6d7e5c9fd5c9839cdd266c600054a443169fdb577bc7567f70073f0,arbitrumfoundation.eth,LTIPP Retroactive Community Funding Selections,1000,106875154.85578284
0x7232f2c1d1da127cb65ee6036fc52ed6fc02540aaf6cf79a3045b6031e819a35,arbitrumfoundation.eth,An EIP-4824 powered daoURI for Arbitrum DAO,1000,132816485.38813703
